51,51,64,61,46,54,59,48,55,44,54,63,51,58,56,53,55,63,57,56,58,45,62,62,55,52,60,48,59,55,54,57,56,65,55,54,47,58,54,49,50,53,63,55,47,67,60,62,47,47,52,57,53,57,64,48,58,61,63,50,52,64,56,55,59,64,59,57,45,63,50,60,57,63,52,50,66,51,66,48,62,46,60,56,58,46,68,60,54,58,59,56,50,50,65,56,47,58,62,65
49,56,65,61,48,55,57,47,56,47,55,62,50,58,56,57,53,63,60,57,54,48,60,60,59,55,58,43,60,57,56,56,54,64,57,55,50,59,52,55,50,57,64,58,47,68,59,62,50,45,55,57,50,60,63,46,58,60,60,55,56,65,57,56,61,65,60,61,45,64,49,62,62,62,55,54,62,52,62,49,62,46,63,54,60,50,72,59,55,56,61,56,54,47,67,56,49,59,68,63
45,52,58,62,46,54,57,45,57,44,57,65,56,59,54,54,53,59,60,57,58,48,62,61,66,56,61,43,58,58,55,59,53,63,59,58,50,58,59,55,52,56,65,59,49,68,58,60,49,51,55,60,50,58,64,46,60,58,61,55,53,65,58,56,63,64,61,61,46,64,51,64,62,64,55,60,61,54,61,53,65,49,60,57,64,49,71,61,55,55,60,59,52,48,63,60,50,61,69,63
49,48,61,60,46,55,58,44,57,52,59,64,59,59,57,56,50,64,66,57,58,51,59,61,63,59,62,45,59,56,60,56,51,65,63,58,53,61,56,55,50,56,61,59,48,65,55,60,49,55,57,61,49,58,60,51,58,65,61,57,54,63,59,58,65,65,58,60,48,66,52,63,61,65,53,56,57,54,60,52,68,47,59,55,64,52,70,59,57,56,61,60,55,48,67,59,51,62,72,60
48,51,58,62,48,53,58,49,60,53,63,65,59,59,56,55,49,65,65,59,55,51,61,59,63,61,63,44,59,59,63,58,55,62,59,59,54,60,57,56,48,58,63,62,46,72,53,60,50,55,58,65,53,55,61,51,60,65,61,58,53,65,64,55,62,63,60,61,44,64,55,64,66,65,51,55,58,56,61,50,63,51,58,57,65,53,71,58,58,54,60,62,52,49,68,57,49,62,68,62
45,49,62,61,48,55,61,53,60,55,59,64,59,62,59,59,47,65,62,59,58,51,60,54,64,65,61,45,60,59,62,59,56,65,67,58,54,61,55,52,45,59,66,64,47,71,56,56,50,56,57,63,56,57,59,51,63,64,62,60,55,65,67,58,62,61,60,62,45,62,52,66,65,66,50,58,55,56,56,52,69,49,54,54,61,55,67,60,61,53,59,65,57,50,68,62,51,62,64,60
46,53,61,66,46,54,64,58,60,58,63,65,58,60,57,51,50,68,61,58,62,53,65,57,63,66,63,50,60,64,65,62,56,62,66,60,51,63,55,53,48,58,70,62,47,71,53,62,53,54,57,63,53,61,61,50,63,64,63,60,53,62,63,58,61,61,58,60,48,68,54,67,63,64,50,58,58,60,53,52,72,50,55,51,62,52,69,63,62,53,61,64,54,49,66,61,48,60,63,62
50,54,64,66,47,53,61,57,58,56,63,67,63,62,60,52,52,66,58,61,60,54,62,58,63,67,61,48,63,67,65,62,56,65,63,61,53,63,53,56,48,59,68,64,47,68,54,58,50,52,57,64,54,56,61,51,65,64,64,63,53,65,64,57,62,60,59,63,50,62,51,70,63,67,53,61,60,61,56,53,68,55,56,55,57,54,71,61,59,52,58,66,55,49,65,60,48,60,65,63
50,52,61,67,48,51,63,55,62,56,60,72,64,63,59,57,52,66,62,60,59,55,62,55,62,68,61,46,59,66,65,62,54,64,63,64,57,63,56,52,48,59,69,65,47,72,55,59,48,48,58,66,56,59,57,52,64,63,63,61,55,67,67,60,58,62,58,68,49,62,52,72,61,69,54,60,58,61,54,56,67,57,56,60,56,54,70,62,60,54,61,64,54,51,66,65,48,61,63,68
51,55,63,65,46,51,62,56,60,56,59,69,61,60,56,57,55,68,61,60,57,56,65,64,59,67,60,51,61,65,65,65,58,61,63,64,56,63,60,53,48,60,72,63,46,68,55,57,53,54,57,65,59,62,55,50,63,63,68,57,55,69,67,59,59,60,57,66,49,61,55,73,59,63,55,61,58,61,57,52,71,58,57,58,56,58,70,66,62,54,59,64,55,49,66,65,46,59,62,65
