x1,y1,z1,x2,y2,z2,theta,phi,0.3um/s,0.5,1,1.5,2,2.5,3
0,-3.56,3.56,0,-24.77,24.77,45,270,0.56512678,0.56215417,0.54773718,0.52797312,0.50768757,0.4894239,0.47385257
0,-4.39,0,0,-34.39,0,90,270,0.53259295,0.52760893,0.5078733,0.48297182,0.45819312,0.4361892,0.4175384
0,-3.56,-3.56,0,-24.77,-24.77,135,270,0.51373714,0.50685018,0.48275566,0.45425344,0.42666551,0.40252987,0.38227019
0,0,-6.09,0,0,-36.09,180,270,0.55386996,0.54662496,0.52254009,0.4947114,0.46784362,0.44419181,0.424137
0,0,6.09,0,0,36.09,0,315,0.56233728,0.56050223,0.54897708,0.53193659,0.5140515,0.49786597,0.48412025
2.22,-2.22,3.14,17.22,-17.22,24.35,45,315,0.53724033,0.53951299,0.53616792,0.52411956,0.50876218,0.49364468,0.48024175
3.56,-3.56,0,24.77,-24.77,0,90,315,0.56148249,0.56512737,0.56513441,0.55571556,0.54201579,0.52772427,0.51455617
4,-4,-5.66,19,-19,-26.88,135,315,0.56914002,0.56915337,0.56098342,0.54492563,0.52594763,0.50737536,0.49062502
0,0,-6.09,0,0,-36.09,180,315,0.55386996,0.54662496,0.52254009,0.4947114,0.46784362,0.44419181,0.424137
0,0,6.09,0,0,36.09,0,360,0.56233728,0.56050223,0.54897708,0.53193659,0.5140515,0.49786597,0.48412025
3.1,0,3.1,24.32,0,24.32,45,360,0.54872966,0.55364406,0.55678707,0.5504303,0.53971946,0.52834868,0.51803684
6.09,0,0,36.09,0,0,90,360,0.57648426,0.5852713,0.59855705,0.60182196,0.59950298,0.59527081,0.59108543
15.52,0,-15.52,36.73,0,-36.73,135,360,0.36160356,0.36980569,0.37825868,0.37265182,0.35921901,0.34337184,0.32814682
0,0,-6.09,0,0,-36.09,180,360,0.55386996,0.54662496,0.52254009,0.4947114,0.46784362,0.44419181,0.424137
