x1,y1,z1,x2,y2,z2,theta,phi,0.3um/s,0.5,1,1.5,2,2.5,3
0,0,-4.39,0,0,-34.39,180,225,0.51501352,0.51968002,0.52306026,0.51393956,0.49619299,0.47541389,0.45513374
0,0,4.39,0,0,34.39,0,270,0.54808271,0.55260056,0.55619466,0.54810554,0.53176427,0.51242948,0.49341434
0,-3.1,3.1,0,-24.32,24.32,45,270,0.52344608,0.52823776,0.53210688,0.52363372,0.50646454,0.48613909,0.46616763
0,-4.39,0,0,-34.39,0,90,270,0.53056431,0.5351215,0.53857177,0.53007156,0.51329392,0.49358594,0.47434345
0,-3.1,-3.1,0,-24.32,-24.32,135,270,0.53367233,0.53803998,0.54106021,0.532224,0.51521957,0.49541235,0.47615412
0,0,-4.39,0,0,-34.39,180,270,0.51501352,0.51968002,0.52306026,0.51393956,0.49619299,0.47541389,0.45513374
0,0,4.39,0,0,34.39,0,315,0.54808271,0.55260056,0.55619466,0.54810554,0.53176427,0.51242948,0.49341434
2.52,-2.52,3.56,17.52,-17.52,24.77,45,315,0.51642036,0.52479982,0.53918767,0.54168195,0.53373367,0.52019477,0.50486821
4.3,-4.3,0,25.52,-25.52,0,90,315,0.51204169,0.52205569,0.54170883,0.55037582,0.54809916,0.53916121,0.52732193
2.52,-2.52,-3.56,17.52,-17.52,-24.77,135,315,0.53442025,0.54249513,0.556346,0.55869627,0.55092144,0.53774399,0.52283162
0,0,-4.39,0,0,-34.39,180,315,0.51501352,0.51968002,0.52306026,0.51393956,0.49619299,0.47541389,0.45513374
0,0,4.39,0,0,34.39,0,360,0.54808271,0.55260056,0.55619466,0.54810554,0.53176427,0.51242948,0.49341434
4.3,0,4.3,25.52,0,25.52,45,360,0.52937353,0.53917015,0.55851805,0.56730992,0.56550276,0.5572024,0.5460251
21.95,0,0,51.95,0,0,90,360,0.26201102,0.27949631,0.32318652,0.36026195,0.38492978,0.39834398,0.40450507
4.3,0,-4.3,25.52,0,-25.52,135,360,0.52404225,0.53375256,0.55286068,0.56135231,0.55922633,0.55060875,0.53914958
0,0,-4.39,0,0,-34.39,180,360,0.51501352,0.51968002,0.52306026,0.51393956,0.49619299,0.47541389,0.45513374
